review_id,homestay_id,homestay_name,district,state,guest_type,rating,review_text,sentiment,review_topic,review_date,host_response,stay_duration_days,booking_channel
12,1036,Pine Valley Retreat,Ranikhet,Uttarakhand,Solo Traveler,1,Service response was slower than expected.,Negative,Accessibility,2025-01-19,No,5,Referral
13,1040,Nature Trails Stay,Pithoragarh,Uttarakhand,Solo Traveler,2,WiFi connectivity was poor during the stay.,Negative,Cleanliness,2026-04-11,Yes,7,Direct
14,1017,Riverstone Cottage,Kausani,Uttarakhand,Friends Group,4,The hosts made us feel like family.,Positive,Location,2025-03-04,No,3,Referral
15,1016,Sunrise Eco Stay,Almora,Uttarakhand,Couple,5,Perfect place for eco tourism and nature lovers.,Positive,Value for Money,2025-01-02,Yes,9,Referral
16,1048,Oakwood Cottage,Ranikhet,Uttarakhand,Friends Group,5,Perfect place for eco tourism and nature lovers.,Positive,Food,2026-06-02,No,6,Direct
17,1036,Mountain View Homestay,Chamoli,Uttarakhand,Couple,4,Perfect place for eco tourism and nature lovers.,Positive,Amenities,2025-08-18,Yes,1,Referral
18,1006,Lake View Cottage,Rudraprayag,Uttarakhand,Couple,4,Excellent local food and authentic village experience.,Positive,Hospitality,2025-07-11,Yes,5,Google
19,1013,Cloud View Homestay,Kausani,Uttarakhand,Couple,4,Amazing hospitality and very friendly hosts.,Positive,Value for Money,2025-03-03,Yes,9,Google
20,1034,Wildflower Retreat,Nainital,Uttarakhand,Adventure Traveler,4,Loved the scenic surroundings and fresh air.,Positive,Accessibility,2026-04-22,No,4,Referral
21,1021,Lake View Cottage,Pithoragarh,Uttarakhand,Solo Traveler,4,Beautiful mountain views and peaceful atmosphere.,Positive,Trekking,2025-06-03,No,3,Referral
22,1019,Mountain View Homestay,Kausani,Uttarakhand,Adventure Traveler,4,Great value for money and comfortable stay.,Positive,Amenities,2026-05-25,No,7,Referral
23,1016,Nature Trails Stay,Almora,Uttarakhand,Couple,3,The location was nice but amenities were average.,Neutral,Amenities,2026-05-02,No,7,Google
24,1002,Forest Edge Homestay,Uttarkashi,Uttarakhand,Family,4,Perfect place for eco tourism and nature lovers.,Positive,Amenities,2024-06-19,Yes,7,Referral
25,1036,Riverstone Cottage,Uttarkashi,Uttarakhand,Adventure Traveler,1,The room was smaller than shown in photos.,Negative,Amenities,2024-11-16,No,3,Google
26,1030,Himalayan Nest,Mukteshwar,Uttarakhand,Family,1,Room cleanliness needs improvement.,Negative,Food,2025-05-13,No,5,Travel Agency
27,1007,Riverstone Cottage,Kausani,Uttarakhand,Adventure Traveler,4,Outstanding experience with great trekking options.,Positive,Hospitality,2024-11-13,Yes,7,Referral
28,1044,Eco Village Stay,Pithoragarh,Uttarakhand,Friends Group,5,Perfect place for eco tourism and nature lovers.,Positive,Value for Money,2024-10-11,No,2,Tripadvisor
29,1023,Himalayan Nest,Rudraprayag,Uttarakhand,Couple,5,Great value for money and comfortable stay.,Positive,Food,2024-11-15,No,6,Referral
30,1006,Green Hills Homestay,Chamoli,Uttarakhand,Solo Traveler,5,Outstanding experience with great trekking options.,Positive,Scenic Beauty,2026-02-16,No,3,Google
31,1005,Oakwood Cottage,Tehri Garhwal,Uttarakhand,Adventure Traveler,4,One of the best homestays we have visited.,Positive,Accessibility,2025-11-28,No,3,Referral
32,1016,Nature Trails Stay,Uttarkashi,Uttarakhand,Family,5,Excellent local food and authentic village experience.,Positive,Value for Money,2025-05-03,Yes,2,Google
33,1013,Cloud View Homestay,Uttarkashi,Uttarakhand,Couple,1,WiFi connectivity was poor during the stay.,Negative,Amenities,2025-07-16,Yes,5,Referral
34,1045,Sunrise Eco Stay,Pithoragarh,Uttarakhand,Family,5,One of the best homestays we have visited.,Positive,Value for Money,2024-10-15,No,7,Direct
35,1009,Eco Village Stay,Nainital,Uttarakhand,Family,5,The hosts made us feel like family.,Positive,Scenic Beauty,2025-01-03,No,3,Tripadvisor
36,1020,Lake View Cottage,Pithoragarh,Uttarakhand,Adventure Traveler,4,Perfect place for eco tourism and nature lovers.,Positive,Hospitality,2024-06-17,Yes,5,Direct
37,1003,Sunrise Eco Stay,Pithoragarh,Uttarakhand,Adventure Traveler,5,One of the best homestays we have visited.,Positive,Food,2026-02-19,Yes,4,Tripadvisor
38,1046,Oakwood Cottage,Mukteshwar,Uttarakhand,Couple,2,Room cleanliness needs improvement.,Negative,Trekking,2026-04-07,No,8,Tripadvisor
39,1001,Wildflower Retreat,Ranikhet,Uttarakhand,Adventure Traveler,5,One of the best homestays we have visited.,Positive,Location,2025-06-15,No,5,Google
40,1034,Nature Trails Stay,Tehri Garhwal,Uttarakhand,Solo Traveler,2,Road access to the homestay was difficult.,Negative,Food,2026-05-01,Yes,4,Tripadvisor
41,1032,Sunrise Eco Stay,Mukteshwar,Uttarakhand,Solo Traveler,5,Clean rooms and wonderful service.,Positive,Trekking,2025-07-08,Yes,6,Direct
42,1012,Green Hills Homestay,Nainital,Uttarakhand,Family,4,One of the best homestays we have visited.,Positive,Value for Money,2025-04-25,Yes,1,Tripadvisor
43,1009,Nature Trails Stay,Rudraprayag,Uttarakhand,Friends Group,4,One of the best homestays we have visited.,Positive,Amenities,2024-12-29,No,6,Travel Agency
44,1033,Nature Trails Stay,Rudraprayag,Uttarakhand,Family,4,Beautiful mountain views and peaceful atmosphere.,Positive,Trekking,2025-02-24,No,8,Travel Agency
45,1042,Pine Valley Retreat,Mukteshwar,Uttarakhand,Friends Group,3,Good experience but room maintenance can improve.,Neutral,Accessibility,2024-12-22,Yes,7,Google
46,1027,Riverstone Cottage,Almora,Uttarakhand,Solo Traveler,4,Amazing hospitality and very friendly hosts.,Positive,Scenic Beauty,2024-06-13,No,4,Google
47,1050,Mountain View Homestay,Tehri Garhwal,Uttarakhand,Family,2,WiFi connectivity was poor during the stay.,Negative,Amenities,2024-06-17,Yes,6,Direct
48,1030,Snow Peak Homestay,Uttarkashi,Uttarakhand,Solo Traveler,4,One of the best homestays we have visited.,Positive,Eco Tourism,2025-07-22,No,8,Direct
49,1049,Cloud View Homestay,Chamoli,Uttarakhand,Couple,5,Outstanding experience with great trekking options.,Positive,Accessibility,2024-09-20,Yes,3,Direct
50,1035,Pine Valley Retreat,Tehri Garhwal,Uttarakhand,Family,4,Excellent local food and authentic village experience.,Positive,Location,2025-10-16,Yes,7,Google
51,1029,Forest Edge Homestay,Mukteshwar,Uttarakhand,Solo Traveler,4,Amazing hospitality and very friendly hosts.,Positive,Food,2026-01-31,No,1,Tripadvisor
52,1033,Eco Village Stay,Pithoragarh,Uttarakhand,Friends Group,5,Loved the scenic surroundings and fresh air.,Positive,Trekking,2025-07-25,No,10,Travel Agency
53,1042,Nature Trails Stay,Mukteshwar,Uttarakhand,Solo Traveler,5,Great value for money and comfortable stay.,Positive,Food,2025-03-04,Yes,5,Referral
54,1008,Lake View Cottage,Mukteshwar,Uttarakhand,Solo Traveler,4,Beautiful mountain views and peaceful atmosphere.,Positive,Hospitality,2024-12-12,No,6,Tripadvisor
55,1001,Oakwood Cottage,Almora,Uttarakhand,Solo Traveler,3,The location was nice but amenities were average.,Neutral,Food,2025-03-23,No,7,Tripadvisor
56,1027,Wildflower Retreat,Mukteshwar,Uttarakhand,Family,4,One of the best homestays we have visited.,Positive,Location,2024-08-27,No,10,Travel Agency
57,1032,Riverstone Cottage,Nainital,Uttarakhand,Adventure Traveler,3,The location was nice but amenities were average.,Neutral,Cleanliness,2026-03-22,Yes,2,Direct
58,1022,Himalayan Nest,Tehri Garhwal,Uttarakhand,Couple,3,The property was satisfactory for a short visit.,Neutral,Hospitality,2025-08-20,Yes,2,Tripadvisor
59,1025,Snow Peak Homestay,Uttarkashi,Uttarakhand,Solo Traveler,4,Loved the scenic surroundings and fresh air.,Positive,Accessibility,2025-05-23,No,9,Direct
60,1042,Himalayan Nest,Tehri Garhwal,Uttarakhand,Adventure Traveler,4,One of the best homestays we have visited.,Positive,Food,2025-08-08,No,7,Direct
61,1036,Forest Edge Homestay,Chamoli,Uttarakhand,Family,1,Room cleanliness needs improvement.,Negative,Trekking,2024-06-28,No,10,Google
62,1015,Cloud View Homestay,Ranikhet,Uttarakhand,Adventure Traveler,5,Outstanding experience with great trekking options.,Positive,Location,2026-02-20,Yes,2,Referral
63,1004,Mountain View Homestay,Pithoragarh,Uttarakhand,Couple,2,Road access to the homestay was difficult.,Negative,Value for Money,2026-01-03,Yes,8,Direct
64,1037,Riverstone Cottage,Mukteshwar,Uttarakhand,Friends Group,5,Excellent local food and authentic village experience.,Positive,Cleanliness,2026-06-11,Yes,5,Google
65,1013,Lake View Cottage,Kausani,Uttarakhand,Adventure Traveler,2,Property maintenance needs attention.,Negative,Value for Money,2026-05-08,Yes,6,Direct
66,1016,Nature Trails Stay,Uttarkashi,Uttarakhand,Solo Traveler,4,Great value for money and comfortable stay.,Positive,Cleanliness,2024-12-09,Yes,10,Direct
67,1028,Sunrise Eco Stay,Tehri Garhwal,Uttarakhand,Solo Traveler,5,The hosts made us feel like family.,Positive,Location,2024-12-01,Yes,10,Google
68,1020,Nature Trails Stay,Pithoragarh,Uttarakhand,Family,1,Room cleanliness needs improvement.,Negative,Food,2025-07-19,Yes,2,Google
69,1049,Riverstone Cottage,Tehri Garhwal,Uttarakhand,Family,4,One of the best homestays we have visited.,Positive,Value for Money,2024-10-20,No,4,Google
70,1001,Mountain View Homestay,Uttarkashi,Uttarakhand,Friends Group,2,Limited facilities for the price charged.,Negative,Hospitality,2025-03-22,Yes,5,Travel Agency
71,1008,Nature Trails Stay,Chamoli,Uttarakhand,Adventure Traveler,4,Clean rooms and wonderful service.,Positive,Value for Money,2026-02-21,Yes,9,Direct
72,1015,Mountain View Homestay,Uttarkashi,Uttarakhand,Family,5,Amazing hospitality and very friendly hosts.,Positive,Hospitality,2024-12-06,Yes,3,Travel Agency
73,1031,Wildflower Retreat,Pithoragarh,Uttarakhand,Family,4,Excellent local food and authentic village experience.,Positive,Food,2025-03-22,No,1,Google
74,1048,Oakwood Cottage,Nainital,Uttarakhand,Couple,3,Good experience but room maintenance can improve.,Neutral,Eco Tourism,2025-01-25,No,6,Tripadvisor
75,1014,Green Hills Homestay,Kausani,Uttarakhand,Friends Group,1,Road access to the homestay was difficult.,Negative,Accessibility,2026-04-08,Yes,6,Tripadvisor
76,1045,Green Hills Homestay,Kausani,Uttarakhand,Friends Group,4,Great value for money and comfortable stay.,Positive,Trekking,2024-12-05,Yes,10,Google
77,1007,Sunrise Eco Stay,Chamoli,Uttarakhand,Family,2,Room cleanliness needs improvement.,Negative,Location,2026-02-07,No,9,Google
78,1015,Sunrise Eco Stay,Ranikhet,Uttarakhand,Friends Group,4,Amazing hospitality and very friendly hosts.,Positive,Value for Money,2024-11-11,Yes,7,Referral
79,1009,Forest Edge Homestay,Tehri Garhwal,Uttarakhand,Family,1,Service response was slower than expected.,Negative,Accessibility,2025-12-08,Yes,1,Travel Agency
80,1018,Oakwood Cottage,Mukteshwar,Uttarakhand,Family,4,One of the best homestays we have visited.,Positive,Hospitality,2025-07-18,Yes,4,Referral
81,1033,Cloud View Homestay,Ranikhet,Uttarakhand,Solo Traveler,4,Outstanding experience with great trekking options.,Positive,Eco Tourism,2025-01-16,Yes,3,Tripadvisor
82,1001,Wildflower Retreat,Kausani,Uttarakhand,Couple,2,Food quality did not meet expectations.,Negative,Location,2026-05-30,No,7,Tripadvisor
83,1035,Forest Edge Homestay,Tehri Garhwal,Uttarakhand,Couple,3,The location was nice but amenities were average.,Neutral,Amenities,2025-10-11,Yes,2,Travel Agency
84,1005,Snow Peak Homestay,Chamoli,Uttarakhand,Adventure Traveler,4,Excellent local food and authentic village experience.,Positive,Accessibility,2026-05-30,Yes,5,Google
85,1009,Valley Breeze Retreat,Mukteshwar,Uttarakhand,Adventure Traveler,4,Great value for money and comfortable stay.,Positive,Trekking,2024-07-01,No,3,Tripadvisor
86,1044,Eco Village Stay,Nainital,Uttarakhand,Couple,4,Loved the scenic surroundings and fresh air.,Positive,Trekking,2024-07-05,Yes,7,Direct
87,1040,Mountain View Homestay,Almora,Uttarakhand,Adventure Traveler,1,Property maintenance needs attention.,Negative,Food,2025-05-18,No,5,Referral
88,1036,Eco Village Stay,Mukteshwar,Uttarakhand,Solo Traveler,5,Great value for money and comfortable stay.,Positive,Location,2026-01-12,No,10,Travel Agency
89,1047,Riverstone Cottage,Almora,Uttarakhand,Solo Traveler,5,Amazing hospitality and very friendly hosts.,Positive,Amenities,2025-05-17,No,5,Referral
90,1046,Green Hills Homestay,Rudraprayag,Uttarakhand,Solo Traveler,4,Great value for money and comfortable stay.,Positive,Accessibility,2025-02-21,No,5,Travel Agency
91,1021,Wildflower Retreat,Almora,Uttarakhand,Friends Group,5,Clean rooms and wonderful service.,Positive,Scenic Beauty,2025-05-09,Yes,3,Google
92,1002,Sunrise Eco Stay,Mukteshwar,Uttarakhand,Solo Traveler,3,The property was satisfactory for a short visit.,Neutral,Eco Tourism,2024-10-11,No,7,Referral
93,1044,Forest Edge Homestay,Rudraprayag,Uttarakhand,Couple,1,Room cleanliness needs improvement.,Negative,Eco Tourism,2026-03-10,No,2,Referral
94,1010,Green Hills Homestay,Kausani,Uttarakhand,Friends Group,3,Comfortable stay though food options were limited.,Neutral,Eco Tourism,2024-09-22,No,9,Google
95,1013,Valley Breeze Retreat,Nainital,Uttarakhand,Solo Traveler,4,Excellent local food and authentic village experience.,Positive,Cleanliness,2026-01-01,Yes,4,Travel Agency
96,1002,Cloud View Homestay,Nainital,Uttarakhand,Solo Traveler,5,Beautiful mountain views and peaceful atmosphere.,Positive,Accessibility,2026-05-10,Yes,4,Travel Agency
97,1009,Himalayan Nest,Almora,Uttarakhand,Solo Traveler,2,The room was smaller than shown in photos.,Negative,Eco Tourism,2026-04-20,No,9,Direct
98,1039,Snow Peak Homestay,Kausani,Uttarakhand,Family,5,Excellent local food and authentic village experience.,Positive,Location,2026-04-22,No,6,Google
99,1022,Mountain View Homestay,Rudraprayag,Uttarakhand,Family,4,Amazing hospitality and very friendly hosts.,Positive,Scenic Beauty,2025-10-12,No,5,Direct
100,1027,Wildflower Retreat,Ranikhet,Uttarakhand,Family,1,Room cleanliness needs improvement.,Negative,Eco Tourism,2026-01-17,No,2,Direct
101,1005,Lake View Cottage,Ranikhet,Uttarakhand,Solo Traveler,3,The location was nice but amenities were average.,Neutral,Value for Money,2026-03-09,Yes,4,Referral
102,1029,Sunrise Eco Stay,Pithoragarh,Uttarakhand,Solo Traveler,3,Good experience but room maintenance can improve.,Neutral,Hospitality,2025-01-11,No,7,Travel Agency
103,1023,Cloud View Homestay,Mukteshwar,Uttarakhand,Friends Group,5,Amazing hospitality and very friendly hosts.,Positive,Scenic Beauty,2026-02-25,No,6,Google
104,1014,Snow Peak Homestay,Almora,Uttarakhand,Adventure Traveler,5,Great value for money and comfortable stay.,Positive,Value for Money,2026-03-02,No,7,Google
105,1028,Snow Peak Homestay,Pithoragarh,Uttarakhand,Friends Group,1,Limited facilities for the price charged.,Negative,Food,2025-08-30,Yes,8,Referral
106,1023,Pine Valley Retreat,Tehri Garhwal,Uttarakhand,Couple,1,Food quality did not meet expectations.,Negative,Scenic Beauty,2025-08-01,No,7,Tripadvisor
107,1006,Lake View Cottage,Almora,Uttarakhand,Solo Traveler,4,Great value for money and comfortable stay.,Positive,Value for Money,2024-10-19,Yes,6,Direct
108,1008,Oakwood Cottage,Almora,Uttarakhand,Friends Group,5,Loved the scenic surroundings and fresh air.,Positive,Food,2025-09-24,No,2,Referral
109,1023,Eco Village Stay,Uttarkashi,Uttarakhand,Couple,4,Excellent local food and authentic village experience.,Positive,Accessibility,2026-02-14,No,10,Direct
110,1050,Green Hills Homestay,Mukteshwar,Uttarakhand,Couple,2,Road access to the homestay was difficult.,Negative,Cleanliness,2024-10-09,No,10,Direct
111,1015,Nature Trails Stay,Ranikhet,Uttarakhand,Solo Traveler,5,Great value for money and comfortable stay.,Positive,Food,2024-09-09,Yes,10,Direct
112,1028,Forest Edge Homestay,Tehri Garhwal,Uttarakhand,Friends Group,4,Loved the scenic surroundings and fresh air.,Positive,Accessibility,2025-11-14,Yes,10,Direct
113,1009,Eco Village Stay,Rudraprayag,Uttarakhand,Family,5,Perfect place for eco tourism and nature lovers.,Positive,Eco Tourism,2025-03-25,No,6,Tripadvisor
114,1013,Nature Trails Stay,Ranikhet,Uttarakhand,Couple,3,Comfortable stay though food options were limited.,Neutral,Cleanliness,2025-07-30,Yes,3,Travel Agency
115,1049,Oakwood Cottage,Mukteshwar,Uttarakhand,Adventure Traveler,4,Outstanding experience with great trekking options.,Positive,Eco Tourism,2025-04-28,Yes,4,Tripadvisor
116,1050,Wildflower Retreat,Rudraprayag,Uttarakhand,Adventure Traveler,5,Great value for money and comfortable stay.,Positive,Amenities,2024-12-15,Yes,8,Referral
117,1046,Valley Breeze Retreat,Kausani,Uttarakhand,Solo Traveler,1,The room was smaller than shown in photos.,Negative,Hospitality,2025-05-24,Yes,10,Referral
118,1042,Lake View Cottage,Pithoragarh,Uttarakhand,Friends Group,3,Comfortable stay though food options were limited.,Neutral,Cleanliness,2024-07-29,Yes,1,Referral
119,1015,Oakwood Cottage,Rudraprayag,Uttarakhand,Adventure Traveler,4,Beautiful mountain views and peaceful atmosphere.,Positive,Hospitality,2024-11-22,Yes,7,Referral
120,1046,Forest Edge Homestay,Pithoragarh,Uttarakhand,Couple,2,WiFi connectivity was poor during the stay.,Negative,Trekking,2024-10-05,Yes,9,Direct
121,1005,Cloud View Homestay,Pithoragarh,Uttarakhand,Couple,5,The hosts made us feel like family.,Positive,Location,2026-05-28,Yes,6,Travel Agency
122,1013,Oakwood Cottage,Chamoli,Uttarakhand,Adventure Traveler,5,Amazing hospitality and very friendly hosts.,Positive,Amenities,2025-11-24,Yes,5,Referral
123,1024,Cloud View Homestay,Mukteshwar,Uttarakhand,Friends Group,4,Excellent local food and authentic village experience.,Positive,Amenities,2025-06-14,Yes,1,Direct
124,1004,Valley Breeze Retreat,Ranikhet,Uttarakhand,Couple,4,Beautiful mountain views and peaceful atmosphere.,Positive,Scenic Beauty,2026-02-06,No,9,Travel Agency
125,1015,Sunrise Eco Stay,Chamoli,Uttarakhand,Couple,3,Overall a decent stay with basic facilities.,Neutral,Cleanliness,2026-05-01,Yes,3,Google
126,1033,Oakwood Cottage,Pithoragarh,Uttarakhand,Adventure Traveler,5,Outstanding experience with great trekking options.,Positive,Food,2026-02-12,No,2,Direct
127,1033,Sunrise Eco Stay,Mukteshwar,Uttarakhand,Couple,4,Excellent local food and authentic village experience.,Positive,Trekking,2024-07-20,Yes,4,Travel Agency
128,1039,Eco Village Stay,Uttarkashi,Uttarakhand,Couple,4,Amazing hospitality and very friendly hosts.,Positive,Amenities,2025-11-21,No,3,Referral
129,1002,Mountain View Homestay,Rudraprayag,Uttarakhand,Friends Group,4,Great value for money and comfortable stay.,Positive,Hospitality,2026-05-02,Yes,10,Referral
130,1007,Forest Edge Homestay,Uttarkashi,Uttarakhand,Adventure Traveler,4,One of the best homestays we have visited.,Positive,Cleanliness,2025-02-21,No,8,Travel Agency
131,1009,Oakwood Cottage,Ranikhet,Uttarakhand,Friends Group,4,Excellent local food and authentic village experience.,Positive,Location,2025-05-05,No,3,Travel Agency
132,1009,Valley Breeze Retreat,Mukteshwar,Uttarakhand,Couple,1,The room was smaller than shown in photos.,Negative,Accessibility,2025-02-12,Yes,9,Google
133,1017,Nature Trails Stay,Rudraprayag,Uttarakhand,Friends Group,5,The hosts made us feel like family.,Positive,Cleanliness,2025-11-01,No,10,Referral
134,1043,Nature Trails Stay,Pithoragarh,Uttarakhand,Friends Group,5,Clean rooms and wonderful service.,Positive,Hospitality,2025-12-09,No,5,Tripadvisor
135,1015,Sunrise Eco Stay,Almora,Uttarakhand,Family,4,Excellent local food and authentic village experience.,Positive,Trekking,2025-07-05,No,5,Google
136,1020,Forest Edge Homestay,Nainital,Uttarakhand,Solo Traveler,4,Perfect place for eco tourism and nature lovers.,Positive,Location,2024-07-22,No,6,Tripadvisor
137,1040,Forest Edge Homestay,Rudraprayag,Uttarakhand,Solo Traveler,4,Clean rooms and wonderful service.,Positive,Location,2025-03-26,Yes,10,Referral
138,1021,Pine Valley Retreat,Almora,Uttarakhand,Adventure Traveler,1,WiFi connectivity was poor during the stay.,Negative,Accessibility,2025-11-03,No,1,Travel Agency
139,1003,Sunrise Eco Stay,Ranikhet,Uttarakhand,Couple,4,Loved the scenic surroundings and fresh air.,Positive,Eco Tourism,2026-02-02,No,7,Direct
140,1004,Riverstone Cottage,Kausani,Uttarakhand,Family,2,Property maintenance needs attention.,Negative,Amenities,2024-07-23,Yes,2,Google
141,1015,Green Hills Homestay,Tehri Garhwal,Uttarakhand,Couple,4,Perfect place for eco tourism and nature lovers.,Positive,Hospitality,2025-07-03,No,5,Referral
142,1048,Forest Edge Homestay,Rudraprayag,Uttarakhand,Solo Traveler,5,One of the best homestays we have visited.,Positive,Cleanliness,2025-11-30,No,5,Referral
143,1038,Mountain View Homestay,Almora,Uttarakhand,Adventure Traveler,2,The room was smaller than shown in photos.,Negative,Eco Tourism,2025-05-11,Yes,4,Travel Agency
144,1048,Forest Edge Homestay,Almora,Uttarakhand,Family,4,Clean rooms and wonderful service.,Positive,Cleanliness,2025-03-02,No,6,Travel Agency
145,1003,Green Hills Homestay,Rudraprayag,Uttarakhand,Couple,5,Excellent local food and authentic village experience.,Positive,Food,2026-01-24,Yes,3,Tripadvisor
146,1049,Snow Peak Homestay,Nainital,Uttarakhand,Friends Group,5,Amazing hospitality and very friendly hosts.,Positive,Scenic Beauty,2024-08-23,Yes,3,Google
147,1044,Wildflower Retreat,Mukteshwar,Uttarakhand,Adventure Traveler,5,Clean rooms and wonderful service.,Positive,Food,2024-08-11,No,9,Referral
148,1006,Wildflower Retreat,Uttarkashi,Uttarakhand,Family,4,Excellent local food and authentic village experience.,Positive,Accessibility,2025-04-20,No,5,Google
149,1043,Oakwood Cottage,Uttarkashi,Uttarakhand,Adventure Traveler,5,One of the best homestays we have visited.,Positive,Scenic Beauty,2025-11-12,No,5,Direct
150,1033,Pine Valley Retreat,Uttarkashi,Uttarakhand,Solo Traveler,5,One of the best homestays we have visited.,Positive,Amenities,2025-01-04,Yes,2,Referral
151,1005,Forest Edge Homestay,Kausani,Uttarakhand,Adventure Traveler,5,Loved the scenic surroundings and fresh air.,Positive,Location,2025-07-24,Yes,3,Direct
152,1046,Wildflower Retreat,Almora,Uttarakhand,Family,1,Limited facilities for the price charged.,Negative,Value for Money,2025-07-29,Yes,7,Travel Agency
153,1004,Oakwood Cottage,Uttarkashi,Uttarakhand,Friends Group,3,The location was nice but amenities were average.,Neutral,Location,2025-05-08,Yes,8,Referral
154,1030,Snow Peak Homestay,Mukteshwar,Uttarakhand,Adventure Traveler,4,Perfect place for eco tourism and nature lovers.,Positive,Eco Tourism,2025-10-14,Yes,5,Google
155,1041,Sunrise Eco Stay,Pithoragarh,Uttarakhand,Solo Traveler,3,Comfortable stay though food options were limited.,Neutral,Eco Tourism,2024-10-19,No,10,Tripadvisor
156,1035,Riverstone Cottage,Tehri Garhwal,Uttarakhand,Friends Group,3,Overall a decent stay with basic facilities.,Neutral,Trekking,2025-09-25,Yes,5,Referral
157,1010,Himalayan Nest,Tehri Garhwal,Uttarakhand,Adventure Traveler,5,Loved the scenic surroundings and fresh air.,Positive,Cleanliness,2025-07-08,Yes,7,Referral
158,1017,Oakwood Cottage,Chamoli,Uttarakhand,Couple,2,Service response was slower than expected.,Negative,Eco Tourism,2025-02-08,Yes,9,Referral
159,1019,Snow Peak Homestay,Rudraprayag,Uttarakhand,Couple,1,Food quality did not meet expectations.,Negative,Location,2025-01-11,No,4,Tripadvisor
160,1019,Sunrise Eco Stay,Pithoragarh,Uttarakhand,Family,3,Good experience but room maintenance can improve.,Neutral,Trekking,2024-11-26,Yes,7,Travel Agency
161,1036,Nature Trails Stay,Kausani,Uttarakhand,Friends Group,4,Loved the scenic surroundings and fresh air.,Positive,Location,2026-03-02,Yes,1,Travel Agency
162,1015,Riverstone Cottage,Nainital,Uttarakhand,Solo Traveler,5,Great value for money and comfortable stay.,Positive,Trekking,2026-03-04,No,8,Tripadvisor
163,1036,Forest Edge Homestay,Mukteshwar,Uttarakhand,Adventure Traveler,4,Loved the scenic surroundings and fresh air.,Positive,Eco Tourism,2025-08-14,No,7,Google
164,1006,Cloud View Homestay,Tehri Garhwal,Uttarakhand,Couple,1,Room cleanliness needs improvement.,Negative,Amenities,2025-06-12,No,6,Direct
165,1022,Himalayan Nest,Chamoli,Uttarakhand,Friends Group,3,Good experience but room maintenance can improve.,Neutral,Amenities,2025-07-23,Yes,5,Referral
166,1044,Forest Edge Homestay,Chamoli,Uttarakhand,Friends Group,4,Beautiful mountain views and peaceful atmosphere.,Positive,Hospitality,2026-04-23,No,3,Referral
167,1020,Eco Village Stay,Chamoli,Uttarakhand,Family,5,One of the best homestays we have visited.,Positive,Location,2026-03-17,No,4,Referral
168,1022,Eco Village Stay,Chamoli,Uttarakhand,Friends Group,3,Comfortable stay though food options were limited.,Neutral,Hospitality,2025-11-29,No,3,Travel Agency
169,1016,Pine Valley Retreat,Uttarkashi,Uttarakhand,Family,5,One of the best homestays we have visited.,Positive,Food,2024-07-20,No,10,Travel Agency
170,1001,Pine Valley Retreat,Uttarkashi,Uttarakhand,Friends Group,4,The hosts made us feel like family.,Positive,Amenities,2025-11-27,Yes,8,Tripadvisor
171,1011,Pine Valley Retreat,Chamoli,Uttarakhand,Adventure Traveler,5,Outstanding experience with great trekking options.,Positive,Food,2025-06-26,No,7,Google
172,1030,Riverstone Cottage,Tehri Garhwal,Uttarakhand,Adventure Traveler,4,One of the best homestays we have visited.,Positive,Amenities,2026-05-01,No,5,Travel Agency
